,CPU Name,Year Released,Single Core Performance,Multi Core Performance,Clock Speed,Number of Cores,Number of Threads,Rolling Single Core Score,Rolling Multi Core Score,Rolling Average Clock Speed,Rolling Average Number of Cores,Rolling Average Number of Threads,Rolling Year,Rolling STD Single Core Score,Rolling STD Multi Core Score,Rolling STD Clock Speed,Rolling STD Number of Cores,Rolling STD Number of Threads,Rolling STD Year
29,Intel-Core-i7-1195G7,2003.0,152.0,577.0,2000.0,4.0,4.0,148.4,367.4,1630.0,2.8,2.8,2003.0,4.037325847637271,141.83194280556125,429.53463189829057,1.0954451150103324,1.0954451150103321,0.0
30,Intel-Core-i7-11375H,2003.0,154.0,486.0,1300.0,4.0,4.0,150.4,412.8,1490.0,3.2,3.2,2003.0,3.7815340802378064,134.60572053222702,391.1521443121589,1.0954451150103324,1.0954451150103321,0.0
31,AMD-Ryzen-9-5900HX,2003.0,155.0,261.0,1650.0,2.0,2.0,152.6,409.8,1470.0,3.2,3.2,2003.0,1.8165902124584914,138.52689269596718,376.82887362833543,1.0954451150103324,1.0954451150103321,0.0
32,Intel-Core-i7-1185G7E,2003.0,155.0,160.0,1800.0,1.0,1.0,153.4,387.4,1550.0,3.0,3.0,2003.0,1.8165902124584914,171.50889189776723,400.0,1.4142135623730951,1.414213562373095,0.0
33,Intel-Core-i7-1185G7,2003.0,160.0,254.0,1733.0,2.0,2.0,155.2,347.6,1696.6,2.6,2.6,2003.0,2.949576240750525,175.52293297458314,256.676450029994,1.3416407864998738,1.3416407864998736,0.0
34,Intel-Core-i7-11370H,2003.0,161.0,291.0,1300.0,2.0,2.0,157.0,290.4,1556.6,2.2,2.2,2003.0,3.240370349203932,119.84698577769908,240.19325552562876,1.0954451150103321,1.095445115010332,0.0
35,Intel-Core-i9-10900K,2003.0,161.0,542.0,1297.0,4.0,4.0,158.4,301.6,1556.0,2.2,2.2,2003.0,3.1304951684997064,143.06397170496842,240.99688794671187,1.0954451150103321,1.095445115010332,0.0
36,Intel-Core-i9-10900KF,2003.0,161.0,277.0,1200.0,2.0,2.0,159.6,304.8,1466.0,2.2,2.2,2003.0,2.60768096208106,142.1045389845096,278.26156759423316,1.0954451150103321,1.095445115010332,0.0
37,Intel-Core-i7-1165G7,2003.0,163.0,239.0,3400.0,1.0,2.0,161.2,320.6,1786.0,2.2,2.4,2003.0,1.09544511501034,125.38859597268008,925.5428137044769,1.0954451150103321,0.8944271909999155,0.0
38,Intel-Core-i9-9900KS,2003.0,165.0,281.0,1450.0,2.0,2.0,162.2,326.0,1729.4,2.2,2.4,2003.0,1.7888543819998406,122.34786471369252,938.1613933647025,1.0954451150103321,0.8944271909999155,0.0
39,Intel-Core-i9-10850K,2003.0,165.0,512.0,1440.0,4.0,4.0,163.0,370.2,1757.4,2.6,2.8,2003.0,2.000000000000009,144.4634901973506,924.125965439777,1.3416407864998738,1.095445115010332,0.0
40,AMD-Ryzen-7-3800XT,2003.0,167.0,315.0,1300.0,2.0,2.0,164.2,324.8,1758.0,2.2,2.4,2003.0,2.280350850198286,108.05646671995157,923.7532137968452,1.0954451150103321,0.8944271909999154,0.0
41,Intel-Core-i7-10700K,2003.0,167.0,520.0,1440.0,4.0,4.0,165.4,373.4,1806.0,2.6,2.8,2003.0,1.6733200530681673,132.95976835118213,893.2412887904366,1.3416407864998738,1.095445115010332,0.0
42,AMD-Ryzen-7-5800H,2003.0,167.0,515.0,1500.0,4.0,4.0,166.2,428.6,1426.0,3.2,3.2,2003.0,1.0954451150103561,119.85950108356045,74.6993975879324,1.0954451150103321,1.095445115010332,0.0
43,Intel-Core-i9-10910,2003.0,167.0,286.0,1860.0,2.0,2.0,166.6,429.6,1508.0,3.2,3.2,2003.0,0.894427190999948,118.33131453677014,210.04761364985796,1.0954451150103321,1.095445115010332,0.0
44,Intel-Core-i9-10900F,2003.0,171.0,215.0,3200.0,1.0,2.0,167.8,370.2,1860.0,2.6,2.8,2003.0,1.7888543819998455,139.3115214187255,777.0456872024964,1.3416407864998738,1.095445115010332,0.0
45,Intel-Core-i5-11400H,2003.0,172.0,351.0,2200.0,2.0,2.0,168.8,377.4,2040.0,2.6,2.8,2003.0,2.4899799195977534,136.65028357087306,716.7984374982971,1.3416407864998738,1.095445115010332,0.0
46,AMD-Ryzen-9-3900XT,2003.0,173.0,385.0,1330.0,2.0,4.0,170.0,350.4,2018.0,2.2,2.8,2003.0,2.828427124746195,112.66232733260934,741.0937862376124,1.0954451150103321,1.095445115010332,0.0
47,Intel-Core-i7-10700KF,2003.0,174.0,170.0,1860.0,1.0,1.0,171.4,281.4,2090.0,1.6,2.2,2003.0,2.7018512172212636,90.02388571929117,694.1901756723441,0.5477225575051662,1.095445115010332,0.0
48,Intel-Core-i7-8086K,2003.0,174.0,302.0,1070.0,2.0,2.0,172.8,284.6,1932.0,1.6,2.2,2003.0,1.3038404810405342,90.51132525822389,835.2065612769095,0.5477225575051662,1.095445115010332,0.0
49,Intel-Core-i9-9900KF,2003.0,174.0,570.0,1500.0,4.0,4.0,173.4,355.6,1592.0,2.2,2.6,2003.0,0.8944271909999183,145.06308972305814,444.7133908485329,1.0954451150103321,1.3416407864998736,0.0
50,Intel-Core-i9-10900,2003.0,175.0,311.0,1900.0,2.0,2.0,174.0,347.6,1532.0,2.2,2.6,2003.0,0.7071067811865488,146.4762779428806,352.94475488382034,1.0954451150103321,1.3416407864998736,0.0
51,Intel-Core-i5-1145G7,2003.0,179.0,354.0,1730.0,2.0,2.0,175.2,341.4,1612.0,2.2,2.2,2003.0,2.1679483388678835,145.1475111739778,340.83720454199243,1.0954451150103321,1.095445115010332,0.0
52,Intel-Core-i9-9900K,2003.0,179.0,326.0,1040.0,2.0,2.0,176.2,372.6,1448.0,2.4,2.4,2003.0,2.5884358211089626,112.09727918196774,385.9663197741482,0.8944271909999157,0.8944271909999155,0.0
53,Intel-Core-i5-10600K,2003.0,180.0,327.0,1300.0,2.0,2.0,177.4,377.6,1494.0,2.4,2.4,2003.0,2.7018512172212654,108.66600204295739,340.7051511204373,0.8944271909999157,0.8944271909999155,0.0
54,Intel-Core-i5-10600KF,2003.0,181.0,586.0,1040.0,4.0,4.0,178.8,380.8,1402.0,2.4,2.4,2003.0,2.28035085019828,115.75275374694125,396.2574920427373,0.8944271909999157,0.8944271909999155,0.0
55,AMD-Ryzen-5-3600XT,2003.0,182.0,570.0,1440.0,4.0,4.0,180.2,432.6,1310.0,2.8,2.8,2003.0,1.3038404810405342,133.32591646037926,291.20439557122074,1.0954451150103321,1.095445115010332,0.0
56,AMD-Ryzen-9-3950X,2003.0,182.0,327.0,1300.0,2.0,2.0,180.8,427.2,1224.0,2.8,2.8,2003.0,1.3038404810405342,137.77771953403797,177.426040929735,1.0954451150103321,1.095445115010332,0.0
57,AMD-Ryzen-7-3800X,2004.0,183.0,614.0,1500.0,4.0,4.0,181.6,484.8,1316.0,3.2,3.2,2003.2,1.1401754250991414,144.90928196633934,177.426040929735,1.0954451150103321,1.095445115010332,0.4472135954999452
58,Intel-Core-i5-11300H,2004.0,183.0,226.0,3000.0,1.0,2.0,182.2,464.6,1656.0,3.0,3.2,2003.4,0.8366600265340837,176.09031773496247,771.9326395482964,1.414213562373095,1.095445115010332,0.5477225575051375
59,AMD-Ryzen-7-5800U,2004.0,183.0,373.0,1200.0,2.0,4.0,182.6,422.0,1688.0,2.6,3.2,2003.6,0.547722557505183,164.78015657232524,742.7785672729121,1.3416407864998736,1.095445115010332,0.5477225575051375
60,Intel-Core-i7-9700KF,2004.0,183.0,322.0,1500.0,2.0,2.0,182.8,372.4,1700.0,2.2,2.8,2003.8,0.44721359549997897,145.26286517895758,738.24115301167,1.095445115010332,1.095445115010332,0.4472135954999452
61,Intel-Core-i7-9700K,2004.0,185.0,339.0,1040.0,2.0,2.0,183.4,374.8,1648.0,2.2,2.8,2004.0,0.8944271909999232,144.42195124010757,781.3577925636885,1.095445115010332,1.095445115010332,0.0
62,AMD-Ryzen-9-3900X,2004.0,185.0,341.0,1600.0,2.0,2.0,183.8,320.2,1668.0,1.8,2.4,2004.0,1.095445115010336,55.79157642511989,777.8945944020951,0.44721359549995743,0.8944271909999154,0.0
63,Intel-Core-i7-7740X,2004.0,185.0,308.0,1580.0,2.0,2.0,184.2,336.6,1384.0,2.0,2.4,2004.0,1.095445115010336,24.398770460824394,250.35974117257751,0.0,0.8944271909999154,0.0
64,AMD-Ryzen-7-PRO-5850U,2004.0,185.0,342.0,2000.0,2.0,2.0,184.6,330.4,1544.0,2.0,2.0,2004.0,0.8944271909999232,14.943225890014363,342.1695486158872,0.0,0.0,0.0
65,AMD-Ryzen-Threadripper-3960X,2004.0,186.0,361.0,1500.0,2.0,2.0,185.2,338.2,1544.0,2.0,2.0,2004.0,0.44721359549997897,19.070920271449857,342.1695486158872,0.0,0.0,0.0
66,AMD-Ryzen-3-3300X,2004.0,186.0,344.0,1100.0,2.0,2.0,185.4,339.2,1556.0,2.0,2.0,2004.0,0.547722557505183,19.253571097331456,320.4372013359248,0.0,0.0,0.0
67,Intel-Core-i3-9350KF,2004.0,186.0,308.0,1660.0,2.0,2.0,185.6,332.6,1568.0,2.0,2.0,2004.0,0.547722557505183,23.638950907347724,323.60469712289404,0.0,0.0,0.0
68,Intel-Core-i7-10700,2004.0,187.0,430.0,1200.0,2.0,4.0,186.0,357.0,1492.0,2.0,2.4,2004.0,0.7071067811865613,45.110974274559865,362.381014955254,0.0,0.8944271909999154,0.0
69,AMD-Ryzen-Threadripper-3970X,2004.0,189.0,537.0,2100.0,3.0,3.0,186.8,396.0,1512.0,2.2,2.6,2004.0,1.3038404810405342,90.4295305749179,398.39678713563944,0.4472135954999571,0.8944271909999154,0.0
