,Rolling singlescore Average,Rolling singlescore Standard Deviation,Rolling multiscore Average,Rolling multiscore Standard Deviation,Rolling clkspd Average,Rolling clkspd Standard Deviation,Rolling numcores Average,Rolling numcores Standard Deviation,Rolling numthreads Average,Rolling numthreads Standard Deviation,Rolling year Average,Rolling year Standard Deviation
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,0.0,0.01121280903206774,0.0,0.004943813320417831,0.1856115107913669,0.013283430363718242,0.0,0.020311111592559685,0.03773584905660378,0.02031111159255968,0.0,0.0
5,0.001766589378381364,0.014586600543944004,0.000612159579550883,0.004127654239097494,0.1381294964028777,0.19688172782683688,0.009803921568627449,0.016583953170166484,0.03773584905660378,0.02031111159255968,0.0,0.0
6,0.003974826101358067,0.018594340202638403,0.0014034878165312935,0.0054229946780825124,0.15251798561151078,0.22613865838976327,0.009803921568627449,0.016583953170166484,0.03773584905660378,0.02031111159255968,0.0,0.0
7,0.006072650988185933,0.018282910101936174,0.0007465360726230291,0.005492102958656805,0.11654676258992806,0.29630187402480135,0.009803921568627449,0.016583953170166484,0.028301886792452824,0.02031111159255968,0.0,0.0
8,0.008501711383460309,0.014648627473824966,0.001642379359770664,0.0039583396131341484,0.09064748201438849,0.2771330192847262,0.019607843137254898,0.0,0.028301886792452824,0.02031111159255968,0.0,0.0
9,0.010268300761841674,0.011713742876023659,0.002657668418537983,0.0058464901703922725,0.10503597122302158,0.320480966746237,0.019607843137254898,0.0,0.028301886792452824,0.02031111159255968,0.0,0.0
10,0.011814066467925365,0.008337419972746582,0.0030309364548494976,0.005424475401099485,0.10503597122302158,0.320480966746237,0.019607843137254898,0.0,0.028301886792452824,0.02031111159255968,0.0,0.0
11,0.013139008501711388,0.009926052327836218,0.0008659818442427133,0.0063794309002050435,0.08345323741007195,0.2718468716471313,0.009803921568627449,0.016583953170166484,0.014150943396226417,0.02031111159255968,0.0,0.0
12,0.014463950535497407,0.00876162413911946,0.0013586956521739121,0.006248838161573479,0.08345323741007195,0.2718468716471313,0.009803921568627449,0.016583953170166484,0.014150943396226417,0.02031111159255968,0.0,0.0
13,0.01545765706083692,0.008445468799318689,0.0016125179168657423,0.0061656548828185175,0.0618705035971223,0.29836631176028666,0.009803921568627449,0.016583953170166484,0.014150943396226417,0.02031111159255968,0.0,0.0
14,0.016782599094622947,0.00886450387746053,0.00020903010033444688,0.003278337348219104,0.0,0.14867354211260753,0.009803921568627449,0.016583953170166484,0.004716981132075471,0.008291976585083242,0.0,0.0
15,0.017997129292260133,0.00765717592667706,0.0021500238891543227,0.007451267445038853,0.08129496402877698,0.3910745024107988,0.009803921568627449,0.016583953170166484,0.014150943396226417,0.02031111159255968,0.0,0.0
16,0.019211659489897323,0.009926052327836218,0.003628165312947921,0.005347989935512794,0.07985611510791367,0.3896069910603604,0.019607843137254898,0.0,0.018867924528301883,0.01658395317016648,0.0,0.0
17,0.020426189687534502,0.009926052327836218,0.003971571906354514,0.005146859361643524,0.10863309352517986,0.3599087963736097,0.019607843137254898,0.0,0.018867924528301883,0.01658395317016648,0.0,0.0
18,0.022744838246660043,0.016620376523096628,0.0046583850931677,0.004711619503784557,0.15179856115107915,0.310784432389182,0.019607843137254898,0.0,0.018867924528301883,0.01658395317016648,0.0,0.0
19,0.025063486805785583,0.02100604000414828,0.005389990444338269,0.004050990161111435,0.1985611510791367,0.2024960399056173,0.019607843137254898,0.0,0.018867924528301883,0.01658395317016648,0.0,0.0
20,0.027713370873357623,0.02201759821541308,0.004314978499761107,0.0010583383211678651,0.14244604316546763,0.06429751448632147,0.019607843137254898,0.0,0.009433962264150941,0.0,0.0,0.0
21,0.03025284310478084,0.021049158845288556,0.005076445293836598,0.0011295058093389774,0.1510791366906475,0.07072903520174396,0.019607843137254898,0.0,0.009433962264150941,0.0,0.0,0.0
22,0.03279231533620404,0.012292855100666631,0.005658743430482559,0.0005551278997966878,0.17266187050359713,0.07072903520174396,0.019607843137254898,0.0,0.009433962264150941,0.0,0.0,0.0
23,0.03433808104228774,0.009585274446138683,0.005957357859531771,0.00029090667025070087,0.16546762589928057,0.07394477104957872,0.019607843137254898,0.0,0.009433962264150941,0.0,0.0,0.0
24,0.03555261123992492,0.006733074034777551,0.006032011466794074,0.00013618049118686276,0.1474820143884892,0.07784915515826658,0.019607843137254898,0.0,0.009433962264150941,0.0,0.0,0.0
25,0.03632549409296677,0.0044662160518082975,0.006226110845676061,0.0,0.19424460431654678,0.154494656013324,0.019607843137254898,0.0,0.009433962264150941,0.0,0.0,0.0
26,0.0367671414375621,0.003205584421562942,0.00643514094601051,0.0005381908188622331,0.20503597122302158,0.15734341024932036,0.019607843137254898,0.0,0.009433962264150941,0.0,0.0,0.0
27,0.037871259799050455,0.00804219588378211,0.006659101767797419,0.0006840667719461736,0.18345323741007194,0.18139730708299562,0.019607843137254898,0.0,0.009433962264150941,0.0,0.0,0.0
28,0.038754554488241146,0.009426303648688576,0.009600453893932152,0.008722032844330258,0.1474820143884892,0.28766351537501433,0.039215686274509796,0.03316790634033297,0.018867924528301883,0.01658395317016648,0.0,0.0
29,0.03963784917743182,0.009926052327836204,0.014527591973244144,0.014871431586570654,0.1906474820143885,0.33001096370791444,0.0588235294117647,0.04062222318511938,0.028301886792452824,0.02031111159255968,0.0,0.0
30,0.040741967538920176,0.009297170101319195,0.0179168657429527,0.0140824231101062,0.14028776978417265,0.29621183518277205,0.07843137254901962,0.04062222318511938,0.03773584905660378,0.02031111159255968,0.0,0.0
