,Rolling singlescore Average,Rolling singlescore Standard Deviation,Rolling multiscore Average,Rolling multiscore Standard Deviation,Rolling clkspd Average,Rolling clkspd Standard Deviation,Rolling numcores Average,Rolling numcores Standard Deviation,Rolling numthreads Average,Rolling numthreads Standard Deviation,Rolling year Average,Rolling year Standard Deviation
17,-3.890937393296624,-4.61259243003588,-5.528593316464027,-5.269368583020658,-2.219779189309813,-1.0219046230354831,-3.931825632724326,,-3.970291913552122,-4.099319727648685,,
18,-3.7834170495853674,-4.09712583499216,-5.369086437436244,-5.357723586363517,-1.885200892648671,-1.168655750581028,-3.931825632724326,,-3.970291913552122,-4.099319727648685,,
19,-3.6863432008935457,-3.8629452633680437,-5.223211666912846,-5.5087939435200415,-1.6166581604075874,-1.5970349486484077,-3.931825632724326,,-3.970291913552122,-4.099319727648685,,
20,-3.5858402792431647,-3.815913226506005,-5.445662937133294,-6.851055222402179,-1.948791995430202,-2.7442343034418055,-3.931825632724326,,-4.663439094112068,,,
21,-3.498165111986878,-3.8608946794959365,-5.283144007635519,-6.785975078785709,-1.8899514954072687,-2.6488991086077336,-3.931825632724326,,-4.663439094112068,,,
22,-3.417561079572249,-4.398737071508139,-5.1745534201633,-7.496312020683259,-1.7564201027827462,-2.6488991086077336,-3.931825632724326,,-4.663439094112068,,,
23,-3.3715003061957143,-4.647527270016123,-5.123128208355863,-8.142508063022662,-1.7989797172015423,-2.604436801594059,-3.931825632724326,,-4.663439094112068,,,
24,-3.33674167283054,-5.000723473671107,-5.110674747284577,-8.90152941102168,-1.9140490469863292,-2.5529822329348546,-3.931825632724326,,-4.663439094112068,,,
25,-3.3152354676095768,-5.411213749706022,-5.079003403446925,,-1.6386370671263624,-1.8675957721530714,-3.931825632724326,,-4.663439094112068,,,
26,-3.3031507283945047,-5.742860858411154,-5.045981535141979,-7.527297378787185,-1.5845698458560868,-1.8493245359208565,-3.931825632724326,,-4.663439094112068,,,
27,-3.2735627712090087,-4.823053113208308,-5.011770673225662,-7.287455025301879,-1.6957954809663114,-1.7070655865987472,-3.931825632724326,,-4.663439094112068,,,
28,-3.2505069949090823,-4.664251237049894,-4.645944901008107,-4.741902943880707,-1.9140490469863292,-1.2459638312907346,-3.2386784521643803,-3.4061725470887394,-3.970291913552122,-4.099319727648685,,
29,-3.2279708298866696,-4.612592430035881,-4.2317055430597215,-4.208313249669241,-1.6573292001385151,-1.1086294017161782,-2.833213344056216,-3.203439993034657,-3.564826805443958,-3.896587173594603,,
30,-3.200496574334421,-4.678045215309309,-4.022012789469635,-4.262827847170815,-1.9640594675609908,-1.2166804212188953,-2.545531271604435,-3.203439993034657,-3.2771447329921766,-3.896587173594603,,
31,-3.171121965654517,-5.411213749706024,-4.034591571676494,-4.232878373231025,-2.0167032010464125,-1.2601942012245382,-2.545531271604435,-3.203439993034657,-3.2771447329921766,-3.896587173594603,,
32,-3.1606506657872218,-5.411213749706024,-4.133875882615028,-4.0111935908038525,-1.8209586239203173,-1.1907172357291054,-2.6790626642289577,-2.948027181151662,-3.4106761256166993,-3.6411743617116072,,
33,-3.1374836065056875,-4.926513471111971,-4.339009249590191,-3.9872830741958953,-1.538959334604035,-1.7271282640840346,-3.0155349008501706,-3.0007074389805752,-3.747148362237912,-3.6938546195405206,,
34,-3.1148411297559275,-4.832487355360501,-4.7353626773471,-4.384352273439374,-1.806398472588988,-1.8122926491181035,-3.526360524616161,-3.2034399930346575,-4.257973986003902,-3.896587173594603,,
35,-3.097578062332147,-4.866983791103976,-4.6443908991413725,-4.1993082935321215,-1.8077133971702966,-1.807967918221265,-3.526360524616161,-3.2034399930346575,-4.257973986003902,-3.896587173594603,,
36,-3.0830146981442503,-5.0497136778512095,-4.619849790225255,-4.206313833962992,-2.0275728732833165,-1.6255579720492275,-3.526360524616161,-3.2034399930346575,-4.257973986003902,-3.896587173594603,,
37,-3.0639210393286707,-5.9170142055452555,-4.506791704297524,-4.336974168805793,-1.3993285789587975,-0.26554304478446816,-3.526360524616161,-3.2034399930346575,-3.970291913552122,-4.099319727648686,,
38,-3.0521700227931516,-5.426599579039395,-4.470907455505135,-4.3626926351063755,-1.4854392220543762,-0.2511557602567259,-3.526360524616161,-3.2034399930346575,-3.970291913552122,-4.099319727648686,,
39,-3.0428676301308384,-5.31502780338229,-4.217419585812245,-4.1891765665168155,-1.4419135454545637,-0.26717149006754276,-3.0155349008501706,-3.0007074389805752,-3.564826805443958,-3.896587173594603,,
40,-3.0290743079985027,-5.1838456711485446,-4.4787711919653495,-4.493307430899565,-1.4410012753593655,-0.2676003506955487,-3.526360524616161,-3.2034399930346575,-3.970291913552122,-4.099319727648686,,
41,-3.0154686559427235,-5.4933652753516515,-4.201338837283791,-4.275671726177847,-1.3705909691914406,-0.30334391402729,-3.0155349008501706,-3.0007074389805752,-3.564826805443958,-3.896587173594603,,
42,-3.0064999859599637,-5.917014205545241,-3.9582558236668834,-4.384242704356385,-2.143308825317975,-4.042838849354957,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,,
43,-3.002045635610583,-6.119746759599309,-3.95435414099582,-4.397711244111755,-1.918939032280521,-1.9897215198497058,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,,
44,-2.988800408860562,-5.426599579039392,-4.217419585812245,-4.226991680478238,-1.2968877734043058,-0.4525177821097995,-3.0155349008501706,-3.0007074389805752,-3.564826805443958,-3.896587173594603,,
45,-2.9778951753782996,-5.0959003379167145,-4.1815948592941,-4.247099839946168,-1.084326331420633,-0.5396164586081231,-3.0155349008501706,-3.0007074389805752,-3.564826805443958,-3.896587173594603,,
46,-2.964963960706051,-4.96845421310232,-4.323117882253556,-4.449321545071833,-1.1080088160641923,-0.503575341978272,-3.526360524616161,-3.2034399930346575,-3.564826805443958,-3.896587173594603,,
47,-2.9500858966798718,-5.014237809865065,-4.814980305311791,-4.686958193590495,-1.0325012635560469,-0.5743633008456293,,-3.8965871735946025,-4.257973986003902,-3.896587173594603,,
48,-2.935425948269187,-5.742860858411151,-4.785940152090627,-4.681199022251399,-1.2063737658634741,-0.375070996547159,,-3.8965871735946025,-4.257973986003902,-3.896587173594603,,
49,-2.929208311658317,-6.119746759599342,-4.294259053791576,-4.1848670181671315,-1.7317274901923747,-1.0689257711453692,-3.526360524616161,-3.2034399930346575,-3.747148362237912,-3.6938546195405206,,
50,-2.923029095292359,-6.354748574222211,-4.339009249590191,-4.174782772697093,-1.8617806184405725,-1.3372493880461849,-3.526360524616161,-3.2034399930346575,-3.747148362237912,-3.6938546195405206,,
51,-2.9107840443322583,-5.234393729584232,-4.375122667243871,-4.184261738093443,-1.6918815816451749,-1.3787026845165422,-3.526360524616161,-3.2034399930346575,-4.257973986003902,-3.896587173594603,,
